Year,Rank,Country,Region,Happiness Score,GDP per Capita,Social Support,Healthy Life Expectancy,Freedom,Generosity,Corruption Perception
2015,1,Switzerland,Western Europe,7.587,1.397,1.350,0.941,0.666,0.297,0.420
2015,2,Iceland,Western Europe,7.561,1.302,1.402,0.948,0.629,0.436,0.141
2015,3,Denmark,Western Europe,7.527,1.325,1.361,0.875,0.649,0.341,0.484
2015,4,Norway,Western Europe,7.522,1.459,1.331,0.885,0.670,0.347,0.365
2015,5,Canada,North America,7.427,1.326,1.323,0.906,0.633,0.458,0.330
2015,6,Finland,Western Europe,7.406,1.290,1.318,0.889,0.642,0.234,0.414
2015,7,Netherlands,Western Europe,7.378,1.329,1.280,0.893,0.616,0.476,0.318
2015,8,Sweden,Western Europe,7.364,1.332,1.289,0.911,0.660,0.363,0.438
2015,9,New Zealand,Australia and New Zealand,7.286,1.250,1.320,0.908,0.639,0.475,0.429
2015,10,Australia,Australia and New Zealand,7.284,1.334,1.309,0.932,0.651,0.436,0.356
2015,11,Israel,Middle East and Northern Africa,7.278,1.229,1.224,0.914,0.413,0.332,0.078
2015,12,Costa Rica,Latin America and Caribbean,7.226,0.956,1.238,0.860,0.634,0.255,0.106
2015,13,Austria,Western Europe,7.200,1.337,1.297,0.890,0.624,0.331,0.187
2015,14,Mexico,Latin America and Caribbean,7.187,1.021,0.915,0.814,0.482,0.141,0.213
2015,15,United States,North America,7.119,1.395,1.247,0.862,0.546,0.401,0.159
2015,16,Brazil,Latin America and Caribbean,6.983,0.981,1.233,0.697,0.490,0.146,0.175
2015,17,Luxembourg,Western Europe,6.946,1.564,1.220,0.919,0.616,0.280,0.378
2015,18,Ireland,Western Europe,6.940,1.336,1.369,0.895,0.618,0.459,0.287
2015,19,Belgium,Western Europe,6.937,1.308,1.286,0.897,0.584,0.222,0.225
2015,20,United Arab Emirates,Middle East and Northern Africa,6.901,1.427,1.126,0.809,0.642,0.264,0.386
2015,21,United Kingdom,Western Europe,6.867,1.266,1.285,0.909,0.596,0.519,0.321
2015,22,Oman,Middle East and Northern Africa,6.853,1.360,1.082,0.763,0.633,0.215,0.325
2015,23,Venezuela,Latin America and Caribbean,6.810,1.044,1.256,0.721,0.429,0.058,0.111
2015,24,Singapore,Southeastern Asia,6.798,1.522,1.020,1.025,0.543,0.311,0.492
2015,25,Panama,Latin America and Caribbean,6.786,1.064,1.198,0.797,0.542,0.244,0.093
2015,26,Germany,Western Europe,6.750,1.328,1.299,0.892,0.615,0.282,0.218
2015,27,Chile,Latin America and Caribbean,6.670,1.107,1.124,0.859,0.441,0.334,0.129
2015,28,Qatar,Middle East and Northern Africa,6.611,1.690,1.079,0.797,0.640,0.326,0.522
2015,29,France,Western Europe,6.575,1.278,1.260,0.946,0.550,0.123,0.206
2015,30,Argentina,Latin America and Caribbean,6.574,1.054,1.248,0.787,0.450,0.115,0.085
2015,31,Czech Republic,Central and Eastern Europe,6.505,1.179,1.206,0.845,0.464,0.107,0.027
2015,32,Uruguay,Latin America and Caribbean,6.485,1.062,1.209,0.812,0.604,0.232,0.246
2015,33,Colombia,Latin America and Caribbean,6.477,0.919,1.240,0.691,0.535,0.184,0.051
2015,34,Thailand,Southeastern Asia,6.455,0.967,1.265,0.738,0.557,0.576,0.032
2015,35,Saudi Arabia,Middle East and Northern Africa,6.411,1.395,1.084,0.720,0.310,0.137,0.325
2015,36,Spain,Western Europe,6.329,1.230,1.314,0.956,0.460,0.182,0.064
2015,37,Malta,Western Europe,6.302,1.207,1.302,0.887,0.604,0.518,0.136
2015,38,Taiwan,Eastern Asia,6.298,1.291,1.076,0.875,0.397,0.254,0.081
2015,39,Kuwait,Middle East and Northern Africa,6.295,1.554,1.166,0.725,0.555,0.162,0.256
2015,40,Suriname,Latin America and Caribbean,6.269,0.995,0.972,0.608,0.597,0.170,0.136
2015,41,Trinidad and Tobago,Latin America and Caribbean,6.168,1.212,1.184,0.615,0.559,0.318,0.011
2015,42,El Salvador,Latin America and Caribbean,6.130,0.765,1.025,0.677,0.404,0.107,0.118
2015,43,Guatemala,Latin America and Caribbean,6.123,0.746,1.044,0.644,0.577,0.275,0.095
2015,44,Uzbekistan,Central and Eastern Europe,6.003,0.632,1.340,0.598,0.658,0.228,0.308
2015,45,Slovakia,Central and Eastern Europe,5.995,1.169,1.270,0.789,0.318,0.169,0.034
2015,46,Japan,Eastern Asia,5.987,1.271,1.257,0.991,0.496,0.107,0.181
2015,47,South Korea,Eastern Asia,5.984,1.245,0.958,0.965,0.332,0.186,0.079
2015,48,Ecuador,Latin America and Caribbean,5.975,0.864,0.999,0.791,0.486,0.115,0.181
2015,49,Bahrain,Middle East and Northern Africa,5.960,1.324,1.216,0.747,0.455,0.174,0.306
2015,50,Italy,Western Europe,5.948,1.251,1.198,0.954,0.262,0.228,0.029
2015,51,Bolivia,Latin America and Caribbean,5.890,0.681,0.978,0.539,0.574,0.205,0.088
2015,52,Moldova,Central and Eastern Europe,5.889,0.594,1.015,0.618,0.328,0.210,0.016
2015,53,Paraguay,Latin America and Caribbean,5.878,0.760,1.305,0.661,0.539,0.342,0.082
2015,54,Kazakhstan,Central and Eastern Europe,5.855,1.123,1.122,0.644,0.516,0.118,0.085
2015,55,Slovenia,Central and Eastern Europe,5.848,1.185,1.274,0.873,0.609,0.253,0.038
2015,56,Lithuania,Central and Eastern Europe,5.833,1.147,1.257,0.731,0.213,0.026,0.010
2015,57,Nicaragua,Latin America and Caribbean,5.828,0.593,1.142,0.743,0.555,0.278,0.193
2015,58,Peru,Latin America and Caribbean,5.824,0.900,0.975,0.730,0.415,0.150,0.060
2015,59,Belarus,Central and Eastern Europe,5.813,1.032,1.233,0.736,0.379,0.110,0.191
2015,60,Poland,Central and Eastern Europe,5.791,1.126,1.279,0.779,0.531,0.168,0.042
